Creation Date,Isin Code,Security Code,Status Description,Trade Date,Value Date,Transaction Type Description,Cash Account,Cash Account Currency, Quantity ,Net Amount,Net Amount currency,Transaction Price,Transaction Price Currency,Custodian Name,Security Name,Security Quotation Currency,Gross Amount,Gross Amount Currency,Total Fees Amount,Total Fees Currency,Broker Name,Commission Broker,Commission Broker Currency,Local Tax,Local Tax Currency,%fee,ctFee
16.07.2018,CH0012032048,MLROH,Settled,13.07.2018,17.07.2018,Sale,LU81007S003111605CHF,CHF,2'000.00,464273.83,CHF,232.207,CHF,"CACEIS BANK, SWITZERLAND BRANCH",ROCHE HOLDING AG-GENUSSCHEIN,CHF,464413.15,CHF,139.32,CHF,CACEIS BANK FRANCE,139.32,CHF,0,,0.03%,0.07
16.07.2018,FR0000130650,DSY,Settled,13.07.2018,17.07.2018,Sale,LU38007S003111685EUR,EUR,4'000.00,512315.11,EUR,128.117,EUR,CACEIS BANK,DASSAULT SYSTEMES,EUR,512468.85,EUR,153.74,EUR,CACEIS BANK FRANCE,153.74,EUR,0,,0.03%,0.04
16.07.2018,NL0011794037,NL0011794037,Settled,13.07.2018,17.07.2018,Sale,LU38007S003111685EUR,EUR,20'000.00,423028.99,EUR,21.158,EUR,CACEIS BANK,KONINKLIJKE AHOLD DELHAIZE N,EUR,423155.94,EUR,126.95,EUR,CACEIS BANK FRANCE,126.95,EUR,0,,0.03%,0.01
16.07.2018,US12673P1057,CA,Settled,13.07.2018,17.07.2018,Sale,LU17007S003111601USD,USD,32'200.00,1418734.09,USD,44.071,USD,BROWN BROTHERS HARRIMAN,CA,USD,1419074.54,USD,322,USD,CACEIS BANK FRANCE,322,USD,0,,0.02%,0.01
16.07.2018,US17275R1023,CSCO US,Settled,13.07.2018,17.07.2018,Sale,LU17007S003111601USD,USD,10'000.00,435593.54,USD,43.57,USD,BROWN BROTHERS HARRIMAN,CISCO SYSTEMS,USD,435699.2,USD,100,USD,CACEIS BANK FRANCE,100,USD,0,,0.02%,0.01
16.07.2018,US7475251036,QCOM UW,Settled,13.07.2018,17.07.2018,Sale,LU17007S003111601USD,USD,6'000.00,349610.45,USD,58.279,USD,BROWN BROTHERS HARRIMAN,QUALCOMM,USD,349675,USD,60,USD,CACEIS BANK FRANCE,60,USD,0,,0.02%,0.01
19.06.2018,DE000BAY1BR7,DE000BAY1BR7,Settled,15.06.2018,15.06.2018,Sale,LU38007S003111685EUR,EUR,3'275.00,4424.53,EUR,1.351,EUR,CACEIS BANK S. A. GERMANY BRANCH,BAYER AG RTS 19-06-18,EUR,4424.53,EUR,0,,CLEARSTREAM BANKING AG,0,,0,,0.00%, -   
08.06.2018,DE0007100000,LER,Canceled,08.06.2018,01.01.1900,Change of nostro account delivery,,,7'750.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DAIMLER AG-REGISTERED SHARES,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0007100000,LER,Canceled,08.06.2018,01.01.1900,Change of nostro account receipt,,,7'750.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DAIMLER AG-REGISTERED SHARES,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0007236101,SI,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,7'225.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,SIEMENS AG-REG,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
